East Asia and Pacific,Eastern Europe and Central Asia,Eastern and Southern Africa,Europe and Central Asia,Latin America and Caribbean,Middle East and North Africa,North America,South Asia,Sub-Saharan Africa,West and Central Africa,Western Europe
2101796.913,401000.521,399762.508,874388.211,547578.583,351062.837,326523.886,1534001.249,769890.465,370127.957,473387.69
2118319.326,401010.795,410265.106,876535.453,554255.913,359313.811,329789.787,1559487.08,791188.831,380923.725,475524.658
2134980.538,401559.167,421166.863,878757.464,560864.603,367874.05,333188.974,1585101.187,813132.543,391965.68,477198.297
2152177.375,402344.272,432521.353,882149.399,567478.156,376330.252,336683.82,1609603.889,835818.926,403297.573,479805.127
2169504.421,403577.104,444348.939,885601.952,574028.814,384756.447,340155.015,1634453.908,859352.497,415003.558,482024.848
2187461.442,405055.257,456376.96,888808.633,580481.315,393037.235,343544.635,1659971.76,883240.885,426863.925,483753.376
2205306.281,406455.495,468685.658,892018.721,586781.633,401420.611,346974.742,1685008.533,908027.946,439342.288,485563.226
2222690.438,408086.583,480704.394,895271.976,593198.492,410259.342,350346.319,1709924.258,933012.312,452307.918,487185.393
2242096.046,410252.08,493649.966,898557.544,599505.986,419307.237,353729.422,1733636.208,958950.861,465300.895,488305.464
2259708.045,412724.066,506848.399,902210.27,605779.049,428588.541,357078.961,1756628.792,985573.003,478724.604,489486.204
2277280.084,415817.114,519983.178,906842.931,611928.416,437567.991,360420.32,1778702.951,1012442.687,492459.509,491025.817
2292907.402,419136.894,533918.756,912203.502,617914.822,446392.026,363757.141,1799802.439,1040186.58,506267.824,493066.608
2309609.561,421801.95,546661.544,916519.688,623775.196,454825.857,367308.398,1821503.796,1067623.415,520961.871,494717.738
2325420.44,424522.144,561069.587,920734.735,629415.295,461768.385,370717.914,1842731.904,1096454.256,535384.669,496212.591
2337787.399,426534.888,576243.755,924274.506,634786.899,469006.044,373985.091,1864107.623,1125766.572,549522.817,497739.618
2348473.874,428222.906,591593.001,927465.228,639782.426,476679.731,377160.911,1885247.49,1155122.709,563529.708,499242.322
2355384.601,429181.845,607172.785,928790.091,643894.395,483463.739,378055.21,1906326.411,1185196.65,578023.865,499608.246
2359066.391,429400.23,622583.822,929798.937,647312.236,491256.633,379175.786,1923289.469,1215143.742,592559.92,500398.707
2362501.013,425382.282,638125.11,929413.563,651743.94,501983.263,381534.823,1942596.613,1245586.097,607460.987,504031.281
2364285.381,425720.578,653188.55,930691.507,656369.552,511633.049,384018.056,1962352.293,1276565.95,623377.4,504970.929
2366034.364,427063.185,668755.975,931764.611,660888.953,520487.452,386319.946,1982625.214,1307930.329,639174.354,504701.426
2367462.681,428796.78,685224.463,932608.834,665224.379,528594.923,388485.115,2002954.857,1340075.389,654850.926,503812.054
2368851.532,429396.72,701806.617,933166.324,669404.351,536701.746,390521.328,2023249.016,1372501.66,670695.043,503769.604
2369780.535,429943.255,718209.12,933599.596,673466.507,544549.144,392499.85,2043548.983,1405025.513,686816.393,503656.341
